†r,y1,y2,y3,y4,y5,y6,y7,y8,y9,medel,max,min
2071,2.46,7.50,4.74,25.19,30.92,27.29,7.99,26.15,24.32,17.40,30.92,2.46
2072,16.21,13.73,2.15,15.31,20.22,24.58,7.48,3.40,31.40,14.94,31.40,2.15
2073,12.78,17.93,15.03,31.38,25.92,20.87,1.45,2.37,30.21,17.55,31.38,1.45
2074,7.39,5.99,5.80,22.29,19.25,6.96,17.17,24.39,19.40,14.29,24.39,5.80
2075,13.42,30.22,-0.96,22.52,22.48,11.07,17.00,-6.00,27.76,15.28,30.22,-6.00
2076,18.86,15.12,13.06,14.24,14.43,-5.94,0.38,10.81,9.64,10.07,18.86,-5.94
2077,6.54,16.37,11.60,17.78,13.67,23.38,15.04,15.43,11.16,14.55,23.38,6.54
2078,9.82,10.24,18.91,16.89,24.13,14.08,12.62,14.77,12.53,14.89,24.13,9.82
2079,12.76,5.51,14.73,17.92,29.12,15.33,5.50,6.00,14.20,13.45,29.12,5.50
2080,7.11,17.98,7.61,21.49,38.05,14.94,11.30,17.37,22.87,17.64,38.05,7.11
2081,16.84,30.68,16.89,18.32,23.94,-3.09,16.00,17.39,18.92,17.32,30.68,-3.09
2082,9.43,18.21,20.06,33.17,9.69,3.39,12.08,21.87,27.73,17.29,33.17,3.39
2083,17.06,14.87,-8.78,20.03,20.00,25.90,1.69,8.27,21.55,13.40,25.90,-8.78
2084,9.08,47.57,17.72,27.28,39.12,11.68,19.16,16.30,20.20,23.12,47.57,9.08
2085,20.05,5.03,6.96,4.26,2.08,8.93,8.37,19.85,18.78,10.48,20.05,2.08
2086,22.18,20.10,13.91,21.09,17.76,43.51,9.69,20.27,1.29,18.87,43.51,1.29
2087,14.53,10.25,11.13,29.66,23.03,10.12,-11.23,13.54,38.73,15.53,38.73,-11.23
2088,20.19,7.23,7.63,6.91,17.51,15.35,26.00,6.78,23.33,14.55,26.00,6.78
2089,17.86,11.06,6.74,-0.49,21.20,4.79,-10.95,5.38,13.86,7.72,21.20,-10.95
2090,29.73,20.98,10.32,27.21,2.48,5.67,1.49,2.33,7.70,11.99,29.73,1.49
2091,14.18,23.21,23.39,19.49,14.61,4.42,10.11,10.91,14.19,14.95,23.39,4.42
2092,-1.70,30.29,16.35,1.89,10.26,2.71,14.00,22.55,8.65,11.67,30.29,-1.70
2093,-2.84,19.53,24.98,11.15,17.74,19.97,12.85,15.19,13.27,14.65,24.98,-2.84
2094,33.48,21.10,9.41,24.10,9.04,23.14,4.18,11.49,3.23,15.46,33.48,3.23
2095,20.46,9.58,15.38,20.05,14.92,32.63,17.71,14.63,9.95,17.26,32.63,9.58
2096,15.77,43.21,-19.65,31.96,17.27,18.31,10.67,9.57,8.22,15.04,43.21,-19.65
2097,11.17,34.16,28.79,13.61,41.39,10.41,6.92,12.39,21.87,20.08,41.39,6.92
2098,7.97,19.80,1.80,14.16,7.20,30.61,17.05,3.52,36.11,15.36,36.11,1.80
2099,21.55,15.46,7.38,11.87,14.48,-3.23,6.99,17.75,25.04,13.03,25.04,-3.23
2100,12.92,39.12,8.39,8.19,21.47,,23.64,17.63,16.73,,39.12,8.19
